date,symbol,open,high,low,close,volume,adj_close
2020-04-20,IWM,119.59,122.9,119.04,120.62,36700500.0,117.72
2020-04-21,IWM,117.42,119.24,116.48,117.74,31608900.0,114.91
2020-04-22,IWM,120.32,120.99,118.77,119.17,24333800.0,116.31
2020-04-23,IWM,120.11,122.9,119.68,120.34,38571200.0,117.45
2020-04-24,IWM,121.53,123.32,120.09,122.41,27147500.0,119.47
2020-04-27,IWM,123.95,128.44,123.86,127.26,39021300.0,124.2
2020-04-28,IWM,131.12,131.46,127.28,129.11,47292700.0,126.01
2020-04-29,IWM,133.49,136.85,131.88,135.46,50390500.0,132.2
2020-04-30,IWM,131.9,132.94,130.14,130.31,43727500.0,127.18
2020-05-01,IWM,127.15,127.46,123.29,125.14,43352000.0,122.13
2020-05-04,IWM,123.6,125.9,122.25,125.68,28498200.0,122.66
2020-05-05,IWM,128.07,129.92,126.1,126.65,31209400.0,123.61
2020-05-06,IWM,127.49,128.2,125.0,125.72,29836800.0,122.7
2020-05-07,IWM,127.39,128.5,126.55,127.44,27493000.0,124.38
2020-05-08,IWM,130.16,132.75,129.19,132.36,32122900.0,129.18
2020-05-11,IWM,130.41,132.95,129.33,131.7,33983200.0,128.53
2020-05-12,IWM,132.26,132.29,126.84,126.97,44275300.0,123.92
2020-05-13,IWM,125.65,126.08,120.41,122.72,58719300.0,119.77
2020-05-14,IWM,119.97,123.27,117.18,123.12,55904300.0,120.16
2020-05-15,IWM,122.01,125.53,121.46,125.08,40236600.0,122.07
2020-05-18,IWM,131.45,133.39,130.83,132.68,46981100.0,129.49
2020-05-19,IWM,132.22,133.45,130.06,130.06,30270000.0,126.93
2020-05-20,IWM,132.73,134.98,132.38,134.0,35901300.0,130.78
2020-05-21,IWM,134.05,135.06,132.58,134.24,32716500.0,131.01
2020-05-22,IWM,134.67,135.05,133.02,134.89,24035200.0,131.65
2020-05-26,IWM,140.09,140.38,134.99,138.78,36971000.0,135.44
2020-05-27,IWM,141.57,143.5,137.33,143.09,42682000.0,139.65
2020-05-28,IWM,144.74,144.74,137.58,139.7,42105000.0,136.34
2020-05-29,IWM,138.3,139.28,136.41,138.9,41536400.0,135.56
2020-06-01,IWM,139.26,141.67,138.61,140.23,25567500.0,136.86
2020-06-02,IWM,141.07,141.85,139.56,141.39,24666200.0,137.99
2020-06-03,IWM,143.67,146.07,143.11,144.8,36111700.0,141.32
